,Vocab,TF-IDF Value
0,people,0.05032939366808485
1,woman,0.03990208734911201
2,trump,0.03256337534393988
3,muslim,0.031785196717763864
4,indian,0.029324305598162743
5,girl,0.025401541881508068
6,black,0.025369702981950553
7,like,0.025119405616094066
8,american,0.02491302827876061
9,men,0.024346228761478787
10,white,0.023262911954734528
11,hate,0.023042915074808965
12,sex,0.02109872206030254
13,india,0.0192884416366392
14,quora,0.019031506713174065
15,chinese,0.018701393339009578
16,many,0.017970562998133724
17,think,0.017418515038625248
18,country,0.017012592994385692
19,liberal,0.016685907531890917
20,u,0.015894454930007938
21,racist,0.01493330615674426
22,get,0.014841287021071039
23,jew,0.014746738931674684
24,want,0.014547447774212473
25,world,0.013786978381500743
26,christian,0.013665951500631176
27,gay,0.013501143684477749
28,bad,0.01269690801481413
29,question,0.012177727241956208
30,much,0.011687392245848438
31,right,0.01166285567518091
32,obama,0.011188448220091827
33,donald,0.011092339153444888
34,man,0.011031071645108031
35,make,0.010548428409041516
36,really,0.010500039231777905
37,asian,0.01034797588030249
38,say,0.010308475217631367
39,true,0.010274422830234076
40,conservative,0.01016179675964527
41,look,0.010100165320363428
42,stop,0.010092607301483194
43,president,0.009900288689239312
44,believe,0.009628332195146534
45,mom,0.009615975489064081
46,boy,0.009478166301518834
47,america,0.00946499563473154
48,pakistan,0.009403485184572114
49,child,0.009084322491981683
50,stupid,0.008962463773882125
51,hindu,0.008937263966485316
52,rape,0.008921636118801346
53,year,0.008877429115799293
54,guy,0.008847556552690034
55,state,0.008632223677241514
56,feel,0.0085153607518916
57,china,0.008325739004841043
58,become,0.008302278938682872
59,time,0.008301978372476489
60,gun,0.008282343541653941
61,see,0.008247832293207793
62,life,0.008243565173668636
63,god,0.008167675376635531
64,democrat,0.008160381977333354
65,ever,0.00812143962202451
66,still,0.008055365246139196
67,african,0.007946687570690994
68,answer,0.00790721999213004
69,good,0.007870517147626488
70,kill,0.007706835400451904
71,penis,0.007627772254546763
72,love,0.00762509200787141
73,poor,0.007616717319373325
74,race,0.00757543154456741
75,terrorist,0.007569262067984183
76,know,0.007559462204587206
77,even,0.0075242842144588986
78,fuck,0.00751774425713967
79,old,0.007466549304945903
80,anti,0.007460128432460553
81,european,0.00742897291785921
82,germany,0.007422365180115529
83,pakistani,0.00741760076896452
84,republican,0.007344886572622223
85,modi,0.007281579846942454
86,religion,0.007253816046918101
87,dog,0.007230742202500413
88,call,0.0072265707493481615
89,always,0.0072157271221993426
90,considered,0.007148919882234968
91,feminist,0.0071349372171776075
92,war,0.007129911279205134
93,could,0.007062456508804124
94,eat,0.007032314694998517
95,suck,0.006861988946690018
96,hillary,0.00676099782922554
97,british,0.006590983920840661
98,ugly,0.0065811698939048455
99,take,0.006497234812442644
100,son,0.006444715536114156
101,jewish,0.006436297812252835
102,thing,0.0064334279415792246
103,earth,0.006402108835345334
104,big,0.006325230616324984
105,law,0.006322671864352807
106,dick,0.006310897564102553
107,government,0.0062702130744588525
108,realize,0.006151243061207147
109,female,0.006144318622815044
110,atheist,0.006132841779897114
111,left,0.006037440816387855
112,rude,0.006009462785462394
113,sister,0.0059605004486872485
114,new,0.00593564700477466
115,find,0.005931793640183684
116,islam,0.005921234057980967
117,name,0.005883695936689751
118,every,0.005839030546595151
119,clinton,0.0058312607038697225
120,turk,0.005775001767604291
121,money,0.005767773279428292
122,religious,0.0056936248055662365
123,reason,0.0056643303860987445
124,go,0.005662304308935209
125,fucking,0.005630549329774604
126,wife,0.005629144096574555
127,sexual,0.005620720504983173
128,homosexual,0.005575406270928018
129,russian,0.005572127713710335
130,towards,0.005565031545925175
131,come,0.005561088934841194
132,western,0.005557687006546788
133,family,0.005495020776825039
134,fact,0.005468311176373816
135,someone,0.005460969893451426
136,pussy,0.005353881755623909
137,south,0.005347720401658809
138,israel,0.005307608576314717
139,supporter,0.005291299515534438
140,hitler,0.0052901461327306
141,north,0.0051881670302458245
142,jesus,0.005174494747404035
143,human,0.00514693613053752
144,care,0.0051396282606120235
145,lot,0.005113156425273159
146,everyone,0.005096627003516409
147,male,0.005086820420726796
148,japanese,0.005073312812253132
149,okay,0.005053138385592457
150,mother,0.005045459523107301
151,population,0.005025615778360624
152,non,0.005011839594231185
153,yet,0.0050040433310531264
154,way,0.004999229073158145
155,single,0.004959208973943748
156,work,0.004940810095396174
157,le,0.004936946062680708
158,usa,0.004932534227604857
159,date,0.004923471474291099
160,mean,0.004901887803109727
161,real,0.004887329414139519
162,normal,0.004837844219435749
163,give,0.004794829819983667
164,united,0.004786708917030465
165,try,0.004771676459229452
166,idiot,0.00475405416474684
167,today,0.004746917248577647
168,first,0.004744583999076251
169,indonesian,0.00472617069557751
170,party,0.004708211532133434
171,instead,0.004694179728642925
172,slave,0.0046489002709698204
173,problem,0.004648583814899145
174,generally,0.004646603680129621
175,ok,0.0046166085836936875
176,palestinian,0.004615968424879177
177,nation,0.004599346145715663
178,europe,0.0045710350947170035
179,illegal,0.004491626397483186
180,wrong,0.004485737058050069
181,violent,0.004446273484229667
182,since,0.004435530843676439
183,seem,0.004429307420668956
184,cousin,0.004416659463283104
185,use,0.0043836931705926
186,iran,0.004318205252963206
187,russia,0.0043160345765226715
188,iq,0.004309845747686825
189,immigrant,0.0043043412052368975
190,criminal,0.0042953191611357034
191,live,0.004288354005595146
192,dumb,0.004282264850001887
193,going,0.00426566958609362
194,troll,0.004249762153726856
195,greece,0.004237606790035749
196,animal,0.004214997778062363
197,need,0.0041936389526786985
198,lie,0.004187878537843242
199,japan,0.004162362334088335
200,hypocrite,0.004157943009366938
201,possible,0.004144383325344949
202,friend,0.004143480107726119
203,understand,0.004136133309981713
204,young,0.004135242068040383
205,start,0.004123491829079444
206,die,0.004122264324480346
207,society,0.004119543019366794
208,marry,0.004116543314648829
209,fake,0.004099074923614684
210,cry,0.004097566308229021
211,person,0.004093224263831918
212,nazi,0.004091544469269683
213,tell,0.004087286608424801
214,police,0.004077037906798417
215,brahmin,0.004075722797123435
216,israeli,0.0040552031899771055
217,dad,0.004051612216134106
218,culture,0.004046690452208575
219,cause,0.004042892419133189
220,day,0.004042046306109053
221,virgin,0.004037601923230547
222,born,0.004026124226182934
223,genocide,0.004019766362564334
224,community,0.004017713000912974
225,dehumanised,0.004004248960608412
226,enjoy,0.004003362651258443
227,military,0.003996032875216493
228,canada,0.003980988174333615
229,long,0.003979793534891768
230,rather,0.003973799115836306
231,called,0.003961447086364376
232,arab,0.003925290889005428
233,trying,0.003922143184887989
234,castrate,0.0039120496055500996
235,talk,0.0039050948797571656
236,better,0.0039038599830294803
237,sweden,0.0038806473919150626
238,lying,0.0038763870711116563
239,raped,0.0038639845293716737
240,accept,0.0038570272866807857
241,crime,0.003848751445524897
242,feminism,0.003845780059389282
243,history,0.0038421687535302464
244,german,0.003817975826383123
245,blame,0.003812242839672269
246,buy,0.0038083358362829894
247,food,0.003805283304891317
248,worst,0.0037897491319035235
249,uk,0.0037843371849410946
250,vietnamese,0.00375167588131707
251,minority,0.0037370165787706452
252,wear,0.003734683691121248
253,looking,0.003728638185970685
254,save,0.003708088948687068
255,superior,0.003697533742139743
256,control,0.0036974925754385437
257,evil,0.003688935059421496
258,leave,0.003679407006309072
259,protect,0.0036591586432961156
260,transgender,0.0036573105481763407
261,well,0.0036564507543692735
262,often,0.0036503266051724423
263,land,0.003639044441700991
264,anything,0.003633913714751148
265,one,0.0036320696548240855
266,incest,0.0036284408198968368
267,shit,0.0036182065824370683
268,avoid,0.003617741028984792
269,tamil,0.003616955174714007
270,poop,0.003612304172348259
271,keep,0.0036099135697199897
272,nothing,0.003604101433931915
273,anyone,0.0035997206456609373
274,end,0.0035889893587186653
275,social,0.003576796069074522
276,getting,0.0035534139438478923
277,cheat,0.003550585084966203
278,claim,0.003545509269116547
279,part,0.003540618557452411
280,marriage,0.0035149227101328286
281,hot,0.003510491883622658
282,hindi,0.0035057137554854864
283,islamic,0.003501195846580702
284,sense,0.0034639906316026713
285,daughter,0.0034580672221995084
286,soldier,0.0034546988804040894
287,rapist,0.003444805684738556
288,nigerian,0.0034372328877433356
289,taking,0.0034082773999651824
290,leftist,0.0034039642773678897
291,without,0.0034021189023088834
292,west,0.0033982825135804103
293,prefer,0.0033740739960783097
294,high,0.0033728479815576676
295,best,0.003338155364800311
296,convince,0.003336829753248223
297,bill,0.003315900118095564
298,voter,0.0033114532615765814
299,living,0.0033018214511275966
300,based,0.0032981843358498983
301,got,0.003289187867850991
302,becoming,0.0032694868300800284
303,election,0.0032606199228391347
304,support,0.0032539050513660053
305,never,0.0032532991259964818
306,help,0.0032287887814027227
307,especially,0.003222276662212826
308,fight,0.0032190497236265826
309,also,0.0032095668088672254
310,adult,0.0032088257576326365
311,angry,0.0031991174213646134
312,zuckerberg,0.0031765947928441836
313,seen,0.003173994890645051
314,another,0.003172239165822616
315,baby,0.0031707527838929096
316,others,0.0031688034571331156
317,bible,0.003162510365260603
318,given,0.0031461089170021434
319,walk,0.003140333924543564
320,narendra,0.003135588161906718
321,ruined,0.00310459744699398
322,actually,0.0030940673011999034
323,weed,0.003090843878117011
324,cow,0.0030895695915443095
325,abuse,0.003084088557851566
326,public,0.0030737333042557854
327,view,0.0030663420447992373
328,color,0.0030632637773150726
329,citizen,0.0030414574527381248
330,vagina,0.003018517595702399
331,something,0.0030143588573382798
332,attractive,0.0030100144420462417
333,mexico,0.003006435290280884
334,medium,0.0029980494196040026
335,average,0.002982257709913462
336,loud,0.0029814797358350565
337,place,0.0029789986039097742
338,compared,0.002975907642537167
339,allowed,0.0029709668049105746
340,mostly,0.0029651108155164833
341,theory,0.0029515776782041096
342,full,0.002943153340309598
343,racism,0.0029403627039130253
344,death,0.0029297137317516324
345,created,0.00292553249252551
346,assault,0.002923391263844632
347,smell,0.002919544096920165
348,percentage,0.002919544096920165
349,army,0.0029137781066989063
350,father,0.0028937542883393126
351,post,0.002884873873596342
352,majority,0.0028835801283020566
353,monkey,0.002872765835082823
354,million,0.0028718644595475806
355,pay,0.002870687483087334
356,congress,0.0028634540200756075
357,free,0.002861599796677366
358,turned,0.0028451496485105902
359,australia,0.00284297279764473
360,putin,0.002841441064409925
361,middle,0.002841389319927666
362,happen,0.002839360769362781
363,gang,0.002832021183046592
364,michelle,0.0028313611920927247
365,selfish,0.0028274012463695175
366,pedophile,0.002814832025936344
367,feeling,0.002795943099272854
368,politician,0.002787987891995398
369,cat,0.0027878603535400528
370,welfare,0.0027754392791488076
371,bjp,0.0027691870673916125
372,relationship,0.002763611544787719
373,site,0.002763090210346588
374,childish,0.002754362910937194
375,bombed,0.002748976263038236
376,sikh,0.0027474189095055184
377,important,0.0027433112988066674
378,innocent,0.0027428118527466068
379,outside,0.0027415611818737474
380,deal,0.0027386968121211183
381,italian,0.0027265277552426343
382,specie,0.0027243006927927245
383,group,0.002717963969982607
384,idea,0.0027162049301732772
385,intelligent,0.0027087666830440146
386,though,0.0026998516360108044
387,prophet,0.0026976051127853527
388,iitians,0.0026965790736448053
389,teen,0.002696554895644752
390,obsessed,0.002694981142650254
391,pretend,0.0026890448951770837
392,fat,0.0026855203389042513
393,st,0.0026822677078394324
394,national,0.0026820392517904407
395,funny,0.0026810314637367976
396,english,0.002670890708421183
397,member,0.0026610884004908074
398,show,0.002659273809526463
399,news,0.00265726965877648
400,africa,0.0026536572305010204
401,communist,0.0026454482956400987
402,homosexuality,0.002640234961894529
403,game,0.002633009733573395
404,science,0.0026285067178950672
405,joke,0.002623637723454343
406,replaced,0.002612149390217328
407,nice,0.002608089949289535
408,face,0.0025952989148385524
409,rich,0.0025907473710540226
410,dark,0.002588116242764463
411,actor,0.0025832709077206455
412,example,0.002581201305805748
413,lost,0.0025762479163100875
414,dislike,0.002573517133693422
415,respect,0.0025649804802529456
416,weapon,0.002559829851374049
417,hated,0.0025543082621294544
418,hard,0.0025541056234859366
419,nuclear,0.002553864163840868
420,iranian,0.002547153268231368
421,eye,0.0025421880571821842
422,asking,0.0025381603323893017
423,xi,0.002529106347458379
424,southerner,0.002519965460222387
425,former,0.0025188360639376937
426,planet,0.002514846344725294
427,smart,0.0025111554881247842
428,vote,0.002505537174700353
429,married,0.0025040873343953832
430,dirty,0.0025024663687887127
431,democracy,0.002493505092162511
432,issue,0.0024928287762490987
433,finding,0.00248684591417375
434,ask,0.0024837516471755867
435,rate,0.0024798375206280224
436,jinping,0.0024762860589118657
437,rule,0.0024740034347846907
438,wanting,0.002464610883022299
439,hell,0.002452093733931826
440,peace,0.002450939903175701
441,amendment,0.002450128142824315
442,act,0.0024493514941653556
443,seduce,0.0024435344560339873
444,overrated,0.0024435344560339873
445,waste,0.0024362200003167057
446,value,0.0024346491981178425
447,send,0.0024322086064636744
448,australian,0.0024302798389198074
449,psychopath,0.002426921166280325
450,rid,0.0024229076175288225
451,mueller,0.0024154903116104247
452,killed,0.002413306138119575
453,east,0.0024126288566469044
454,encourage,0.0024117676976818463
455,boyfriend,0.0024114335060007232
456,ancestor,0.0024066609710842526
457,education,0.0024039502861665585
458,working,0.0023951965617601463
459,interesting,0.0023948115655859515
460,home,0.002392710521655704
461,sexually,0.0023882665146574816
462,school,0.0023882133733029573
463,treason,0.0023813673599101556
464,video,0.002379078390208659
