,Vocab,TF-IDF Value
0,best,0.035067061271092
1,get,0.025096258394810694
2,good,0.019190886240585903
3,like,0.018922412435745824
4,make,0.015922790305781163
5,use,0.01534619264226257
6,life,0.014313627521363954
7,way,0.013787640157724095
8,difference,0.013783498331429491
9,thing,0.013359595909739872
10,much,0.013137917527683665
11,year,0.01294986736331455
12,work,0.012359450737405658
13,people,0.012174283970006255
14,india,0.012166622220805697
15,time,0.011849779868024065
16,different,0.011623738595306111
17,better,0.011130707235999574
18,become,0.010935986630479084
19,important,0.010908356549379283
20,find,0.01079106776498027
21,student,0.010689573172191038
22,someone,0.01066487758835997
23,course,0.01064494843345317
24,mean,0.010380407237156466
25,person,0.010243503011688119
26,know,0.010116928864835013
27,think,0.010103681078479976
28,used,0.01007182357127604
29,world,0.010023584306627727
30,online,0.009987877107708347
31,many,0.009894809796623768
32,movie,0.009834134714071206
33,study,0.009660995690721865
34,ever,0.009552704740703005
35,first,0.009387514190092474
36,feel,0.009119022310408993
37,book,0.009102052277148697
38,company,0.009026521619892237
39,type,0.008847917812154197
40,system,0.008820556291782486
41,job,0.008703321766145742
42,need,0.008622483241409398
43,friend,0.00854169471945201
44,without,0.00848875481649438
45,cause,0.008441226611390459
46,start,0.00842854877065682
47,computer,0.008359955818149654
48,month,0.008358969070533932
49,love,0.008323119366361655
50,go,0.008264350058506982
51,day,0.008192125843554297
52,take,0.008171099976149683
53,money,0.008118978758423923
54,quora,0.008069200446774541
55,business,0.007880004748039108
56,application,0.007859141825038609
57,learn,0.007762297557967414
58,college,0.0076938726997022285
59,example,0.00763258173160274
60,country,0.0075842835175144565
61,human,0.007410243431889733
62,software,0.007350873258483272
63,experience,0.0072823068925647935
64,english,0.0071832911180891865
65,possible,0.007167201309163521
66,could,0.00716410287958699
67,form,0.007153568664213967
68,term,0.007067806871216496
69,purpose,0.006992929585531149
70,university,0.006899220588451117
71,number,0.006847705281195352
72,exam,0.006716683203162625
73,free,0.006643667412787783
74,war,0.006629489377175375
75,service,0.006527847972891888
76,change,0.00652750049622171
77,main,0.0064751841015800145
78,look,0.006442777425211187
79,art,0.006271109434145315
80,benefit,0.0062508446680240234
81,language,0.006218042529382101
82,buy,0.006215821570596267
83,girl,0.006204457540804512
84,small,0.006188099962816755
85,real,0.006171497418945256
86,u,0.006161747396046391
87,hair,0.006150783328570954
